Instituição;Cod.IBGE;UF;População;Indicador_1;Nota_1;Indicador_2;Nota_2;Indicador_3;Nota_3;Classificação da CAPAG
Prefeitura Municipal de Amontada - CE;2300754;CE;43131;0,381724267;A;0,861896654;A;;n.d.;n.d.
Prefeitura Municipal de Amorinópolis - GO;5200902;GO;3185;0,367238374;A;0,973084221;C;0,270168628;A;C
Prefeitura Municipal de Amparo - PB;2500734;PB;2227;0,125996179;A;0,981614412;C;0,892954217;A;C
Prefeitura Municipal de Amparo - SP;3501905;SP;71700;0,014350501;A;0,950149287;C;0,566390263;A;C
Prefeitura Municipal de Amparo de São Francisco - SE;2800100;SE;2368;0,00833806;A;1,016712521;C;;n.d.;n.d.
Prefeitura Municipal de Amparo do Serra - MG;3102506;MG;4751;0,092406129;A;0,943845047;B;0,397587949;A;B
Prefeitura Municipal de Ampére - PR;4101002;PR;18989;0,093054045;A;0,883567879;A;1,059122797;C;C
Prefeitura Municipal de Anadia - AL;2700201;AL;17564;0,3124657;A;0,846294585;A;;n.d.;n.d.
Prefeitura Municipal de Anagé - BA;2901205;BA;18194;1,004666095;B;1,013018459;C;6,810891517;C;C
Prefeitura Municipal de Anahy - PR;4101051;PR;2816;0,108080599;A;0,924404686;B;-0,034880423;C;C
Prefeitura Municipal de Anajás - PA;1500701;PA;28859;0,179805984;A;;n.d.;0,204426506;A;n.d.
Prefeitura Municipal de Anajatuba - MA;2100709;MA;26614;;n.d.;;n.d.;0,02733066;A;n.d.
Prefeitura Municipal de Analândia - SP;3502002;SP;4933;0,163056192;A;0,993525122;C;4,047907537;C;C
Prefeitura Municipal de Anamã - AM;1300086;AM;13269;0,006497287;A;0,939428906;B;0,225482174;A;B
Prefeitura Municipal de Ananás - TO;1701002;TO;9607;0,870945846;B;0,943044691;B;5,43953216;C;C
Prefeitura Municipal de Ananindeua - PA;1500800;PA;525566;0,060603215;A;0,938136494;B;-0,00558734;C;C
Prefeitura Municipal de Anápolis - GO;5201108;GO;381970;0,194085197;A;1,059092525;C;1,258340367;C;C
Prefeitura Municipal de Anapu - PA;1500859;PA;27161;0,040235619;A;0,992857156;C;;n.d.;n.d.
Prefeitura Municipal de Anapurus - MA;2100808;MA;15566;;n.d.;2,751206968;C;4,421965589;C;n.d.
Prefeitura Municipal de Anastácio - MS;5000708;MS;25128;0,011583756;A;0,855033843;A;;n.d.;n.d.
Prefeitura Municipal de Anaurilândia - MS;5000807;MS;8993;0,243838569;A;0,994492581;C;0,023355029;A;C
Prefeitura Municipal de Anchieta - ES;3200409;ES;28736;0,036717564;A;0,800020925;A;0,171014607;A;A
Prefeitura Municipal de Anchieta - SC;4200804;SC;5721;0,048487172;A;0,958285159;C;0,318934507;A;C
Prefeitura Municipal de Andaraí - BA;2901304;BA;13153;0,416861299;A;0,820078051;A;;n.d.;n.d.
Prefeitura Municipal de Andirá - PR;4101101;PR;20139;0,53019975;A;0,882219102;A;0,010033599;A;A
Prefeitura Municipal de Andorinha - BA;2901353;BA;14690;0,195159145;A;0,982075161;C;1,117641935;C;C
Prefeitura Municipal de Andradas - MG;3102605;MG;40747;0,024867041;A;0,895921567;A;1,587948594;C;C
Prefeitura Municipal de Andradina - SP;3502101;SP;57112;0,840398278;B;0,956611754;C;0,31183955;A;C
Prefeitura Municipal de André da Rocha - RS;4300661;RS;1324;;n.d.;0,86472859;A;22,54568401;C;n.d.
Prefeitura Municipal de Andrelândia - MG;3102803;MG;12242;;n.d.;0,830002137;A;0,048641562;A;n.d.
Prefeitura Municipal de Angatuba - SP;3502200;SP;24969;0,072449249;A;0,886218375;A;0,211252965;A;A
Prefeitura Municipal de Angelândia - MG;3102852;MG;8481;0,091993689;A;0,972151502;C;1,76107143;C;C
